\uFEFF8L순위,9L순위,순위변동,덱 아키타입,8L 밸류,8L 승률,8L 가성비,9L 밸류,9L 승률,9L 가성비,8L+9L 승률합,8L+9L 가성비합,가성비 통합순위
1,1, 00,사회4_방송부3,86G,98.5%,+50.3,89G,96.4%,+44.7,194.9%,+95.0,1위
2,5,-03,사회4_보건부4,57G,65.0%,+49.9,76G,69.1%,+32.3,134.1%,+82.1,2위
4,2,+02,음악4_급식부5,81G,73.5%,+31.0,73G,75.9%,+42.4,149.4%,+73.4,3위
5,7,-02,체육4_선도부4,80G,67.2%,+25.8,86G,76.7%,+28.4,143.9%,+54.3,4위
9,4,+05,영어4_급식부5,101G,82.7%,+17.4,83G,79.8%,+35.0,162.5%,+52.3,5위
10,6,+04,급식부7,97G,77.9%,+17.2,90G,83.1%,+30.3,161.0%,+47.4,6위
7,9,-02,음악4_도덕4,81G,63.1%,+20.5,86G,75.1%,+26.9,138.2%,+47.4,7위
3,17,-14,체육4_보건부4,60G,51.2%,+32.6,79G,45.7%,+5.4,96.9%,+38.0,8위
-,3, 00,수학4_방송부5,0G,0.0%,0.0,66G,62.3%,+36.8,62.3%,+36.8,9위
11,11, 00,도덕6_보건부2,72G,47.7%,+15.4,80G,62.5%,+21.1,110.3%,+36.6,10위
6,16,-10,수학4_선도부4,81G,66.8%,+24.3,86G,54.6%,+6.4,121.4%,+30.6,11위
8,15,-07,선도부6_체육2,80G,60.8%,+19.4,86G,57.8%,+9.5,118.6%,+28.9,12위
-,8, 00,보건부6_음악2,0G,0.0%,0.0,73G,61.8%,+28.4,61.8%,+28.4,13위
15,10,+05,도덕6_급식부3,101G,63.6%,-1.7,83G,67.8%,+23.0,131.5%,+21.3,14위
-,12, 00,보건부6_도덕2,0G,0.0%,0.0,80G,57.4%,+16.0,57.4%,+16.0,15위
-,13, 00,국어4_보건부4,0G,0.0%,0.0,73G,45.5%,+12.1,45.5%,+12.1,16위
-,14, 00,방송부7,0G,0.0%,0.0,89G,62.3%,+10.7,62.3%,+10.7,17위
12,18,-06,선도부6_수학2,84G,53.3%,+7.4,89G,52.0%,+0.4,105.4%,+7.8,18위
14,19,-05,국어2_방송부5,90G,53.1%,+0.3,92G,49.9%,-5.2,103.0%,-4.9,19위
13,21,-08,육상부6_체육2,77G,40.5%,+2.5,83G,36.0%,-8.8,76.5%,-6.3,20위
16,20,-04,미술4_선도부4,100G,61.2%,-3.0,93G,50.8%,-5.4,112.0%,-8.4,21위
-,23, 00,체육2_급식부5,0G,0.0%,0.0,99G,41.3%,-21.8,41.3%,-21.8,22위
-,30, 00,장난꾸러기6_과학2,0G,0.0%,0.0,90G,7.7%,-45.1,7.7%,-45.1,23위
20,22,-02,영어4_방송부3,105G,37.8%,-32.1,96G,45.0%,-14.6,82.8%,-46.7,24위
17,26,-09,국어4_육상부4,73G,10.1%,-23.3,80G,5.3%,-36.1,15.4%,-59.4,25위
19,28,-09,미술4_장난4,73G,2.7%,-30.7,80G,4.9%,-36.5,7.6%,-67.2,26위
18,29,-11,장난꾸러기6_미술2,73G,3.6%,-29.8,80G,3.0%,-38.4,6.6%,-68.2,27위
21,24,-03,과학4_장난4,96G,21.8%,-37.9,90G,21.1%,-31.7,42.9%,-69.6,28위
23,25,-02,육상부6_과학2,101G,18.4%,-47.0,93G,20.8%,-35.4,39.2%,-82.4,29위
22,27,-05,과학4_육상부4,108G,26.7%,-46.6,99G,26.9%,-36.2,53.5%,-82.8,30위
