8L순위,9L순위,순위변동,덱 아키타입,8L 밸류,8L 승률,8L 가성비,9L 밸류,9L 승률,9L 가성비,8L+9L 승률합,8L+9L 가성비합,가성비 통합순위
1,4,-03,사회4_방송부3,86G,83.7%,+35.5,89G,72.4%,+20.8,156.1%,+56.3,3위
2,1,+01,과학4_장난4,96G,83.2%,+23.5,90G,86.2%,+33.4,169.4%,+56.9,2위
3,15,-12,국어4_육상부4,73G,75.2%,+41.8,80G,49.4%,+8.0,124.6%,+49.8,5위
4,8,-04,미술4_장난4,73G,70.7%,+37.3,80G,61.3%,+19.9,132.0%,+57.2,1위
5,20,-15,장난꾸러기6_미술2,73G,66.5%,+33.1,80G,40.3%,-1.1,106.8%,+32.0,6위
6,6, 00,영어4_급식부5,101G,64.7%,-0.6,83G,67.7%,+22.8,132.4%,+22.2,11위
7,12,-05,육상부6_체육2,77G,58.5%,+20.5,83G,52.2%,+7.4,110.7%,+27.9,9위
8,5,+03,음악4_급식부5,81G,56.3%,+13.7,73G,71.4%,+38.0,127.7%,+51.7,4위
9,21,-12,급식부7,97G,56.0%,-4.7,90G,39.8%,-13.0,95.8%,-17.7,18위
10,22,-12,국어2_방송부5,90G,49.6%,-3.2,92G,38.4%,-16.7,88.0%,-19.9,19위
11,24,-13,영어4_방송부3,105G,47.3%,-22.6,96G,35.1%,-24.5,82.4%,-47.1,21위
12,23,-11,과학4_육상부4,108G,46.7%,-26.6,99G,36.0%,-27.1,82.7%,-53.7,23위
13,9,+04,도덕6_급식부3,101G,45.6%,-19.7,83G,59.5%,+14.7,105.1%,-5.0,16위
14,14, 00,미술4_선도부4,100G,44.1%,-20.1,93G,51.8%,-4.4,95.9%,-24.5,20위
15,25,-10,육상부6_과학2,101G,40.4%,-25.0,93G,33.5%,-22.7,73.9%,-47.7,22위
16,7,+09,선도부6_체육2,80G,36.9%,-4.5,86G,63.7%,+15.4,100.6%,+10.9,13위
17,2,+15,체육4_선도부4,80G,36.5%,-4.9,86G,82.3%,+34.1,118.8%,+29.2,8위
18,16,+02,사회4_보건부4,57G,35.0%,+19.8,76G,48.9%,+12.1,83.9%,+31.9,7위
19,18,+01,음악4_도덕4,81G,34.8%,-7.8,86G,43.8%,-4.5,78.6%,-12.3,17위
20,10,+10,선도부6_수학2,84G,33.2%,-12.7,89G,59.5%,+7.8,92.7%,-4.9,15위
21,3,+18,수학4_선도부4,81G,29.6%,-12.9,86G,78.9%,+30.7,108.5%,+17.8,12위
22,11,+11,체육4_보건부4,60G,27.0%,+8.4,79G,55.6%,+15.3,82.6%,+23.7,10위
23,13,+10,도덕6_보건부2,72G,26.7%,-5.6,80G,51.9%,+10.5,78.6%,+4.9,14위
