8L순위,9L순위,순위변동,덱 아키타입,8L 밸류,8L 승률,8L 가성비,9L 밸류,9L 승률,9L 가성비
1,4,-03,사회4_방송부3,86G,84.6%,+36.3,89G,71.7%,+20.1
2,1,+01,과학4_장난4,96G,83.6%,+24.0,90G,86.2%,+33.4
3,16,-13,국어4_육상부4,73G,77.7%,+44.2,80G,49.3%,+7.9
4,8,-04,미술4_장난4,73G,76.1%,+42.7,80G,61.1%,+19.7
5,20,-15,장난꾸러기6_미술2,73G,71.3%,+37.9,80G,40.9%,-0.5
6,14,-08,육상부6_체육2,77G,66.2%,+28.2,83G,51.5%,+6.7
7,6,+01,영어4_급식부5,101G,66.1%,+0.8,83G,68.1%,+23.3
8,21,-13,급식부7,97G,62.3%,+1.5,90G,40.7%,-12.1
9,9, 00,도덕6_급식부3,101G,59.1%,-6.2,83G,59.1%,+14.2
10,5,+05,음악4_급식부5,81G,58.1%,+15.6,73G,71.3%,+37.9
11,22,-11,국어2_방송부5,90G,57.7%,+4.9,92G,39.5%,-15.6
12,24,-12,과학4_육상부4,108G,55.2%,-18.1,99G,33.7%,-29.4
13,12,+01,미술4_선도부4,100G,54.4%,-9.8,93G,52.4%,-3.8
14,23,-09,육상부6_과학2,101G,51.0%,-14.3,93G,34.1%,-22.2
15,25,-10,영어4_방송부3,105G,49.5%,-20.4,96G,32.8%,-26.8
16,7,+09,선도부6_체육2,80G,48.7%,+7.3,86G,64.3%,+16.1
17,18,-01,음악4_도덕4,81G,47.9%,+5.4,86G,44.6%,-3.7
18,10,+08,선도부6_수학2,84G,47.5%,+1.5,89G,57.9%,+6.2
19,2,+17,체육4_선도부4,80G,45.8%,+4.4,86G,82.5%,+34.2
20,27,-07,장난꾸러기6_과학2,96G,40.4%,-19.2,90G,31.3%,-21.5
21,26,-05,방송부7,84G,37.6%,-8.4,89G,32.6%,-19.1
22,15,+07,사회4_보건부4,57G,37.3%,+22.1,76G,49.7%,+12.9
23,13,+10,도덕6_보건부2,72G,37.3%,+5.0,80G,52.1%,+10.7
24,30,-06,수학4_방송부5,58G,37.0%,+20.7,66G,11.9%,-13.5
25,3,+22,수학4_선도부4,81G,36.7%,-5.9,86G,77.9%,+29.7
