통합 순위,덱 아키타입,승률 합산,가성비 합산,8L 순위,9L 순위,8L 가성비,9L 가성비
1,미술4_장난4,137.2%,+62.4,4,8,+42.7,+19.7
2,과학4_장난4,169.8%,+57.4,2,1,+24.0,+33.4
3,사회4_방송부3,156.3%,+56.4,1,4,+36.3,+20.1
4,음악4_급식부5,129.4%,+53.5,10,5,+15.6,+37.9
5,국어4_육상부4,127.0%,+52.1,3,16,+44.2,+7.9
6,체육4_선도부4,128.3%,+38.6,19,2,+4.4,+34.2
7,장난꾸러기6_미술2,112.2%,+37.4,5,20,+37.9,-0.5
8,사회4_보건부4,87.0%,+35.0,22,15,+22.1,+12.9
9,육상부6_체육2,117.7%,+34.9,6,14,+28.2,+6.7
10,체육4_보건부4,90.0%,+31.2,27,11,+16.0,+15.2
11,영어4_급식부5,134.2%,+24.1,7,6,+0.8,+23.3
12,수학4_선도부4,114.6%,+23.8,25,3,-5.9,+29.7
13,선도부6_체육2,113.0%,+23.4,16,7,+7.3,+16.1
14,도덕6_보건부2,89.4%,+15.7,23,13,+5.0,+10.7
15,국어4_보건부4,57.2%,+12.0,29,19,+0.9,+11.1
16,도덕6_급식부3,118.2%,+8.0,9,9,-6.2,+14.2
17,선도부6_수학2,105.4%,+7.7,18,10,+1.5,+6.2
18,수학4_방송부5,48.9%,+7.2,24,30,+20.7,-13.5
19,음악4_도덕4,92.5%,+1.7,17,18,+5.4,-3.7
20,보건부6_도덕2,69.4%,-4.3,28,17,-10.7,+6.4
21,보건부6_음악2,36.5%,-8.7,30,28,-6.5,-2.2
22,급식부7,103.0%,-10.6,8,21,+1.5,-12.1
23,국어2_방송부5,97.2%,-10.7,11,22,+4.9,-15.6
24,미술4_선도부4,106.8%,-13.6,13,12,-9.8,-3.8
25,방송부7,70.2%,-27.5,21,26,-8.4,-19.1
26,육상부6_과학2,85.1%,-36.5,14,23,-14.3,-22.2
27,장난꾸러기6_과학2,71.7%,-40.7,20,27,-19.2,-21.5
28,영어4_방송부3,82.3%,-47.2,15,25,-20.4,-26.8
29,과학4_육상부4,88.9%,-47.5,12,24,-18.1,-29.4
30,체육2_급식부5,57.9%,-79.7,26,29,-39.7,-40.0
